Transaction ID,Transaction Date,Product Code,Product Name,Category,Territory,Currency,Gross Amount,Net Amount,Quantity,Unit Price,Quarter,Year
INV-2025-001,2025-02-15,VNT-HW-001,Vontair Fleet Controller,Hardware,US,USD,125000.00,120000.00,50,2400.00,Q1,2025
INV-2025-002,2025-02-20,VNT-HW-002,Vontair Fuel Sensor,Hardware,US,USD,85000.00,82000.00,200,410.00,Q1,2025
INV-2025-003,2025-02-28,VNT-SW-001,Vontair Fleet Manager Pro,Software,US,USD,175000.00,170000.00,25,6800.00,Q1,2025
INV-2025-004,2025-03-15,VNT-AN-001,Vontair Analytics Module,Software,US,USD,95000.00,92000.00,15,6133.33,Q1,2025
INV-2025-005,2025-03-25,VNT-SVC-001,Vontair Support Package,Services,US,USD,45000.00,43000.00,10,4300.00,Q1,2025
INV-2025-006,2025-04-10,VNT-HW-001,Vontair Fleet Controller,Hardware,US,USD,450000.00,435000.00,180,2416.67,Q2,2025
INV-2025-007,2025-04-22,VNT-HW-003,Vontair GPS Tracker,Hardware,US,USD,280000.00,272000.00,800,340.00,Q2,2025
INV-2025-008,2025-05-08,VNT-SW-001,Vontair Fleet Manager Pro,Software,US,USD,520000.00,505000.00,75,6733.33,Q2,2025
INV-2025-009,2025-05-20,VNT-AN-001,Vontair Analytics Module,Software,US,USD,185000.00,180000.00,30,6000.00,Q2,2025
INV-2025-010,2025-06-05,VNT-HW-002,Vontair Fuel Sensor,Hardware,US,USD,320000.00,310000.00,750,413.33,Q2,2025
INV-2025-011,2025-06-18,VNT-SVC-002,Vontair Premium Support,Services,US,USD,175000.00,170000.00,25,6800.00,Q2,2025
INV-2025-012,2025-07-12,VNT-HW-001,Vontair Fleet Controller,Hardware,US,USD,1200000.00,1165000.00,480,2427.08,Q3,2025
INV-2025-013,2025-07-28,VNT-HW-003,Vontair GPS Tracker,Hardware,US,USD,850000.00,825000.00,2500,330.00,Q3,2025
INV-2025-014,2025-08-10,VNT-SW-001,Vontair Fleet Manager Pro,Software,US,USD,980000.00,952000.00,140,6800.00,Q3,2025
INV-2025-015,2025-08-25,VNT-AN-001,Vontair Analytics Module,Software,US,USD,420000.00,408000.00,68,6000.00,Q3,2025
INV-2025-016,2025-09-08,VNT-HW-002,Vontair Fuel Sensor,Hardware,US,USD,680000.00,660000.00,1600,412.50,Q3,2025
INV-2025-017,2025-09-22,VNT-SW-002,Vontair Route Optimizer,Software,US,USD,750000.00,728000.00,100,7280.00,Q3,2025
INV-2025-018,2025-09-30,VNT-SVC-001,Vontair Support Package,Services,US,USD,285000.00,277000.00,65,4261.54,Q3,2025
INV-2025-019,2025-10-15,VNT-HW-001,Vontair Fleet Controller,Hardware,US,USD,1850000.00,1795000.00,740,2425.68,Q4,2025
INV-2025-020,2025-11-05,VNT-SW-001,Vontair Fleet Manager Pro,Software,US,USD,1250000.00,1215000.00,180,6750.00,Q4,2025
INV-2025-021,2025-11-20,VNT-HW-003,Vontair GPS Tracker,Hardware,US,USD,920000.00,893000.00,2700,330.74,Q4,2025
INV-2025-022,2025-12-10,VNT-AN-001,Vontair Analytics Module,Software,US,USD,580000.00,563000.00,95,5926.32,Q4,2025
INV-2025-023,2025-12-28,VNT-SVC-002,Vontair Premium Support,Services,US,USD,425000.00,413000.00,60,6883.33,Q4,2025
