Transaction Date,Partner Name,Product Name,Category,Subcategory,Series,Territory,Channel,Units Sold,Unit Price,Net Sales Amount,UOM
01/15/2024,Premium Audio Boutique,EssentialSound Wireless – Black,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,85,149.99,12749.15,Each
01/22/2024,Premium Audio Boutique,EssentialSound Wireless – White,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,60,149.99,8999.40,Each
02/05/2024,Elite Sound Gallery,EssentialSound Wireless – Black,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,120,149.99,17998.80,Each
02/18/2024,Elite Sound Gallery,Essential Wired – Black,Headphones,Wired Headphones,Essential Series,United States,Specialty Retail,45,79.99,3599.55,Each
03/01/2024,Premium Audio Boutique,Essential Soundbar,Soundbars,Standard Soundbars,Essential Series,United States,Specialty Retail,30,299.99,8999.70,Each
03/10/2024,Premium Audio Boutique,EssentialSound Wireless – Black,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,95,149.99,14249.05,Each
03/25/2024,Elite Sound Gallery,EssentialSound Wireless – White,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,75,149.99,11249.25,Each
03/28/2024,Elite Sound Gallery,Essential Soundbar,Soundbars,Standard Soundbars,Essential Series,United States,Specialty Retail,55,299.99,16499.45,Each
04/05/2024,Premium Audio Boutique,Essential Wired – Black,Headphones,Wired Headphones,Essential Series,United States,Specialty Retail,40,79.99,3199.60,Each
04/15/2024,Premium Audio Boutique,EssentialSound Wireless – White,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,110,149.99,16498.90,Each
05/01/2024,Elite Sound Gallery,EssentialSound Wireless – Black,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,200,149.99,29998.00,Each
05/20/2024,Elite Sound Gallery,Essential Soundbar,Soundbars,Standard Soundbars,Essential Series,United States,Specialty Retail,65,299.99,19499.35,Each
06/10/2024,Premium Audio Boutique,EssentialSound Wireless – Black,Headphones,Wireless Headphones,Essential Series,United States,Specialty Retail,150,149.99,22498.50,Each
06/15/2024,Premium Audio Boutique,Essential Soundbar,Soundbars,Standard Soundbars,Essential Series,United States,Specialty Retail,25,299.99,7499.75,Each
06/28/2024,Elite Sound Gallery,Essential Wired – Black,Headphones,Wired Headphones,Essential Series,United States,Specialty Retail,35,79.99,2799.65,Each
